filename,label
signature\mam.jpg,signature
signature\person01_fake_001.jpg,signature
signature\person01_real_001.jpg,signature
signature\person01_real_002.jpg,signature
signature\person01_real_003.jpg,signature
signature\person01_real_004.jpg,signature
signature\person01_real_005.jpg,signature
signature\person02_real_001.jpg,signature
signature\person02_real_002.jpg,signature
signature\person02_real_003.jpg,signature
signature\person02_real_004.jpg,signature
signature\person02_real_005.jpg,signature
signature\person03_real_001.jpg,signature
signature\person03_real_002.jpg,signature
signature\person03_real_003.jpg,signature
signature\person03_real_004.jpg,signature
signature\person03_real_005.jpg,signature
signature\person04_real_001.jpg,signature
signature\person04_real_002.jpg,signature
signature\person04_real_003.jpg,signature
signature\person04_real_004.jpg,signature
signature\person04_real_005.jpg,signature
signature\person05_real_001.jpg,signature
signature\person05_real_002.jpg,signature
signature\person05_real_003.jpg,signature
signature\person05_real_004.jpg,signature
signature\person05_real_005.jpg,signature
signature\person06_real_001.jpg,signature
signature\person06_real_002.jpg,signature
signature\person06_real_003.jpg,signature
signature\person06_real_004.jpg,signature
signature\person06_real_005.jpg,signature
signature\person07_real_001.jpg,signature
signature\person07_real_002.jpg,signature
signature\person07_real_003.jpg,signature
signature\person07_real_004.jpg,signature
signature\person07_real_005.jpg,signature
signature\person08_real_001.jpg,signature
signature\person08_real_002.jpg,signature
signature\person08_real_003.jpg,signature
signature\person08_real_004.jpg,signature
signature\person08_real_005.jpg,signature
signature\person09_real_001.jpg,signature
signature\person09_real_002.jpg,signature
signature\person09_real_003.jpg,signature
signature\person09_real_004.jpg,signature
signature\person09_real_005.jpg,signature
signature\person10_real_001.jpg,signature
signature\person10_real_002.jpg,signature
signature\person10_real_003.jpg,signature
signature\person10_real_004.jpg,signature
signature\person10_real_005.jpg,signature
signature\person11_real_001.jpg,signature
signature\person11_real_002.jpg,signature
signature\person11_real_003.jpg,signature
signature\person11_real_004.jpg,signature
signature\person11_real_005.jpg,signature
signature\person12_real_001.jpg,signature
signature\person12_real_002.jpg,signature
signature\person12_real_003.jpg,signature
signature\person12_real_004.jpg,signature
signature\person12_real_005.jpg,signature
signature\person13_real_001.jpg,signature
signature\person13_real_002.jpg,signature
signature\person13_real_003.jpg,signature
signature\person13_real_004.jpg,signature
signature\person13_real_005.jpg,signature
signature\person14_real_001.jpg,signature
signature\person14_real_002.jpg,signature
signature\person14_real_003.jpg,signature
signature\person14_real_004.jpg,signature
signature\person14_real_005.jpg,signature
signature\person15_real_001.jpg,signature
signature\person15_real_002.jpg,signature
signature\person15_real_003.jpg,signature
signature\person15_real_004.jpg,signature
signature\person15_real_005.jpg,signature
signature\person16_real_001.jpg,signature
signature\person16_real_002.jpg,signature
signature\person16_real_003.jpg,signature
signature\person16_real_004.jpg,signature
signature\person16_real_005.jpg,signature
signature\person17_real_001.jpg,signature
signature\person17_real_002.jpg,signature
signature\person17_real_003.jpg,signature
signature\person17_real_004.jpg,signature
signature\person17_real_005.jpg,signature
signature\person18_real_001.jpg,signature
signature\person18_real_002.jpg,signature
signature\person18_real_003.jpg,signature
signature\person18_real_004.jpg,signature
signature\person18_real_005.jpg,signature
signature\person19_real_001.jpg,signature
signature\person19_real_002.jpg,signature
signature\person19_real_003.jpg,signature
signature\person19_real_004.jpg,signature
signature\person19_real_005.jpg,signature
signature\person20_real_001.jpg,signature
signature\person20_real_002.jpg,signature
signature\person20_real_003.jpg,signature
signature\person20_real_004.jpg,signature
signature\person20_real_005.jpg,signature
signature\person21_real_001.jpg,signature
signature\person21_real_002.jpg,signature
signature\person21_real_003.jpg,signature
signature\person21_real_004.jpg,signature
signature\person21_real_005.jpg,signature
signature\person22_real_001.jpg,signature
signature\person22_real_002.jpg,signature
signature\person22_real_003.jpg,signature
signature\person22_real_004.jpg,signature
signature\person22_real_005.jpg,signature
signature\person23_real_001.jpg,signature
signature\person23_real_002.jpg,signature
signature\person23_real_003.jpg,signature
signature\person23_real_004.jpg,signature
signature\person23_real_005.jpg,signature
signature\person24_real_001.jpg,signature
signature\person24_real_002.jpg,signature
signature\person24_real_003.jpg,signature
signature\person24_real_004.jpg,signature
signature\person24_real_005.jpg,signature
signature\person25_real_001.jpg,signature
signature\person25_real_002.jpg,signature
signature\person25_real_003.jpg,signature
signature\person25_real_004.jpg,signature
signature\person25_real_005.jpg,signature
signature\person26_real_001.jpg,signature
signature\person26_real_002.jpg,signature
signature\person26_real_003.jpg,signature
signature\person26_real_004.jpg,signature
signature\person26_real_005.jpg,signature
signature\person27_fake_004.jpg,signature
signature\person27_real_001.jpg,signature
signature\person27_real_002.jpg,signature
signature\person27_real_003.jpg,signature
signature\person27_real_004.jpg,signature
signature\person27_real_005.jpg,signature
signature\person28_real_001.jpg,signature
signature\person28_real_002.jpg,signature
signature\person28_real_003.jpg,signature
signature\person28_real_004.jpg,signature
signature\person28_real_005.jpg,signature
signature\person29_real_001.jpg,signature
signature\person29_real_002.jpg,signature
signature\person29_real_003.jpg,signature
signature\person29_real_004.jpg,signature
signature\person29_real_005.jpg,signature
signature\person30_real_001.jpg,signature
signature\person30_real_002.jpg,signature
signature\person30_real_003.jpg,signature
signature\person30_real_004.jpg,signature
signature\person30_real_005.jpg,signature
signature\person31_real_001.jpg,signature
signature\person31_real_002.jpg,signature
signature\person31_real_003.jpg,signature
signature\person31_real_004.jpg,signature
signature\person31_real_005.jpg,signature
signature\person32_real_001.jpg,signature
signature\person32_real_002.jpg,signature
signature\person32_real_003.jpg,signature
signature\person32_real_004.jpg,signature
signature\person32_real_005.jpg,signature
signature\person33_real_001.jpg,signature
signature\person33_real_002.jpg,signature
signature\person33_real_003.jpg,signature
signature\person33_real_004.jpg,signature
signature\person33_real_005.jpg,signature
signature\person34_real_001.jpg,signature
signature\person34_real_002.jpg,signature
signature\person34_real_003.jpg,signature
signature\person34_real_004.jpg,signature
signature\person34_real_005.jpg,signature
signature\person35_real_001.jpg,signature
signature\person35_real_002.jpg,signature
signature\person35_real_003.jpg,signature
signature\person35_real_004.jpg,signature
signature\person35_real_005.jpg,signature
signature\person36_real_001.jpg,signature
signature\person36_real_002.jpg,signature
signature\person36_real_003.jpg,signature
signature\person36_real_004.jpg,signature
signature\person36_real_005.jpg,signature
signature\person37_real_001.jpg,signature
signature\person37_real_002.jpg,signature
signature\person37_real_003.jpg,signature
signature\person37_real_004.jpg,signature
signature\person37_real_005.jpg,signature
signature\person38_real_001.jpg,signature
signature\person38_real_002.jpg,signature
signature\person38_real_003.jpg,signature
signature\person38_real_004.jpg,signature
signature\person38_real_005.jpg,signature
signature\person39_real_001.jpg,signature
signature\person39_real_002.jpg,signature
signature\person39_real_003.jpg,signature
signature\person39_real_004.jpg,signature
signature\person39_real_005.jpg,signature
signature\person40_real_001.jpg,signature
signature\person40_real_002.jpg,signature
signature\person40_real_003.jpg,signature
signature\person40_real_004.jpg,signature
signature\person40_real_005.jpg,signature
signature\person41_real_001.jpg,signature
signature\person41_real_002.jpg,signature
signature\person41_real_003.jpg,signature
signature\person41_real_004.jpg,signature
signature\person41_real_005.jpg,signature
signature\person42_real_001.jpg,signature
signature\person42_real_002.jpg,signature
signature\person42_real_003.jpg,signature
signature\person42_real_004.jpg,signature
signature\person42_real_005.jpg,signature
signature\person43_real_001.jpg,signature
signature\person43_real_002.jpg,signature
signature\person43_real_003.jpg,signature
signature\person43_real_004.jpg,signature
signature\person43_real_005.jpg,signature
signature\person44_real_001.jpg,signature
signature\person44_real_002.jpg,signature
signature\person44_real_003.jpg,signature
signature\person44_real_004.jpg,signature
signature\person44_real_005.jpg,signature
signature\person45_real_001.jpg,signature
signature\person45_real_002.jpg,signature
signature\person45_real_003.jpg,signature
signature\person45_real_004.jpg,signature
signature\person45_real_005.jpg,signature
signature\person46_real_001.jpg,signature
signature\person46_real_002.jpg,signature
signature\person46_real_003.jpg,signature
signature\person46_real_004.jpg,signature
signature\person46_real_005.jpg,signature
signature\person47_real_001.jpg,signature
signature\person47_real_002.jpg,signature
signature\person47_real_003.jpg,signature
signature\person47_real_004.jpg,signature
signature\person47_real_005.jpg,signature
signature\person48_real_001.jpg,signature
signature\person48_real_002.jpg,signature
signature\person48_real_003.jpg,signature
signature\person48_real_004.jpg,signature
signature\person48_real_005.jpg,signature
signature\Screenshot 2025-10-08 145420.png,signature
signature\Screenshot 2025-10-08 145427.png,signature
signature\Screenshot 2025-10-08 145519.png,signature
signature\Screenshot 2025-10-08 145527.png,signature
signature\Screenshot 2025-10-08 145533.png,signature
signature\Screenshot 2025-10-08 145549.png,signature
signature\Screenshot 2025-10-08 145612.png,signature
signature\Screenshot 2025-10-08 145618.png,signature
signature\Screenshot 2025-10-08 145622.png,signature
signature\Screenshot 2025-10-08 145635.png,signature
signature\Screenshot 2025-10-08 145642.png,signature
signature\Screenshot 2025-10-08 145648.png,signature
signature\Screenshot 2025-10-08 145654.png,signature
signature\Screenshot 2025-10-08 145659.png,signature
signature\Screenshot 2025-10-08 145704.png,signature
signature\Screenshot 2025-10-08 145710.png,signature
signature\Screenshot 2025-10-08 145714.png,signature
signature\Screenshot 2025-10-08 145719.png,signature
signature\Screenshot 2025-10-08 145755.png,signature
signature\Screenshot 2025-10-08 145800.png,signature
signature\Screenshot 2025-10-08 145816.png,signature
signature\Screenshot 2025-10-08 145830.png,signature
signature\Screenshot 2025-10-08 145835.png,signature
signature\Screenshot 2025-10-08 145847.png,signature
signature\Screenshot 2025-10-08 145855.png,signature
signature\Screenshot 2025-10-08 145906.png,signature
signature\Screenshot 2025-10-09 123311.png,signature
signature\Screenshot 2025-10-09 123319.png,signature
signature\Screenshot 2025-10-09 123333.png,signature
signature\Screenshot 2025-10-09 123343.png,signature
signature\Screenshot 2025-10-09 123348.png,signature
signature\Screenshot 2025-10-09 123359.png,signature
signature\Screenshot 2025-10-09 123406.png,signature
signature\Screenshot 2025-10-09 123413.png,signature
signature\sign1.jpg,signature
signature\sign10.jpg,signature
signature\sign2.jpg,signature
signature\sign3.jpg,signature
signature\sign4.jpg,signature
signature\sign5.jpg,signature
signature\WhatsApp Image 2025-10-08 at 14.45.20_2e09b6c1.jpg,signature
signature\WhatsApp Image 2025-10-08 at 14.45.20_c4ae7d9c.jpg,signature
shapes\circles\drawing(1).png,circles
shapes\circles\drawing(10).png,circles
shapes\circles\drawing(100).png,circles
shapes\circles\drawing(11).png,circles
shapes\circles\drawing(12).png,circles
shapes\circles\drawing(13).png,circles
shapes\circles\drawing(14).png,circles
shapes\circles\drawing(15).png,circles
shapes\circles\drawing(16).png,circles
shapes\circles\drawing(17).png,circles
shapes\circles\drawing(18).png,circles
shapes\circles\drawing(19).png,circles
shapes\circles\drawing(2).png,circles
shapes\circles\drawing(20).png,circles
shapes\circles\drawing(21).png,circles
shapes\circles\drawing(22).png,circles
shapes\circles\drawing(23).png,circles
shapes\circles\drawing(24).png,circles
shapes\circles\drawing(25).png,circles
shapes\circles\drawing(26).png,circles
shapes\circles\drawing(27).png,circles
shapes\circles\drawing(28).png,circles
shapes\circles\drawing(29).png,circles
shapes\circles\drawing(3).png,circles
shapes\circles\drawing(30).png,circles
shapes\circles\drawing(31).png,circles
shapes\circles\drawing(32).png,circles
shapes\circles\drawing(33).png,circles
shapes\circles\drawing(34).png,circles
shapes\circles\drawing(35).png,circles
shapes\circles\drawing(36).png,circles
shapes\circles\drawing(37).png,circles
shapes\circles\drawing(38).png,circles
shapes\circles\drawing(39).png,circles
shapes\circles\drawing(4).png,circles
shapes\circles\drawing(40).png,circles
shapes\circles\drawing(41).png,circles
shapes\circles\drawing(42).png,circles
shapes\circles\drawing(43).png,circles
shapes\circles\drawing(44).png,circles
shapes\circles\drawing(45).png,circles
shapes\circles\drawing(46).png,circles
shapes\circles\drawing(47).png,circles
shapes\circles\drawing(48).png,circles
shapes\circles\drawing(49).png,circles
shapes\circles\drawing(5).png,circles
shapes\circles\drawing(50).png,circles
shapes\circles\drawing(51).png,circles
shapes\circles\drawing(52).png,circles
shapes\circles\drawing(53).png,circles
shapes\circles\drawing(54).png,circles
shapes\circles\drawing(55).png,circles
shapes\circles\drawing(56).png,circles
shapes\circles\drawing(57).png,circles
shapes\circles\drawing(58).png,circles
shapes\circles\drawing(59).png,circles
shapes\circles\drawing(6).png,circles
shapes\circles\drawing(60).png,circles
shapes\circles\drawing(61).png,circles
shapes\circles\drawing(62).png,circles
shapes\circles\drawing(63).png,circles
shapes\circles\drawing(64).png,circles
shapes\circles\drawing(65).png,circles
shapes\circles\drawing(66).png,circles
shapes\circles\drawing(67).png,circles
shapes\circles\drawing(68).png,circles
shapes\circles\drawing(69).png,circles
shapes\circles\drawing(7).png,circles
shapes\circles\drawing(70).png,circles
shapes\circles\drawing(71).png,circles
shapes\circles\drawing(72).png,circles
shapes\circles\drawing(73).png,circles
shapes\circles\drawing(74).png,circles
shapes\circles\drawing(75).png,circles
shapes\circles\drawing(76).png,circles
shapes\circles\drawing(77).png,circles
shapes\circles\drawing(78).png,circles
shapes\circles\drawing(79).png,circles
shapes\circles\drawing(8).png,circles
shapes\circles\drawing(80).png,circles
shapes\circles\drawing(81).png,circles
shapes\circles\drawing(82).png,circles
shapes\circles\drawing(83).png,circles
shapes\circles\drawing(84).png,circles
shapes\circles\drawing(85).png,circles
shapes\circles\drawing(86).png,circles
shapes\circles\drawing(87).png,circles
shapes\circles\drawing(88).png,circles
shapes\circles\drawing(89).png,circles
shapes\circles\drawing(9).png,circles
shapes\circles\drawing(90).png,circles
shapes\circles\drawing(91).png,circles
shapes\circles\drawing(92).png,circles
shapes\circles\drawing(93).png,circles
shapes\circles\drawing(94).png,circles
shapes\circles\drawing(95).png,circles
shapes\circles\drawing(96).png,circles
shapes\circles\drawing(97).png,circles
shapes\circles\drawing(98).png,circles
shapes\circles\drawing(99).png,circles
shapes\ellipse\ellipse_01.jpg,ellipse
shapes\ellipse\ellipse_02.jpg,ellipse
shapes\ellipse\ellipse_03.jpg,ellipse
shapes\ellipse\ellipse_04.jpg,ellipse
shapes\ellipse\ellipse_05.jpg,ellipse
shapes\ellipse\ellipse_06.jpg,ellipse
shapes\ellipse\ellipse_07.jpg,ellipse
shapes\ellipse\ellipse_08.jpg,ellipse
shapes\ellipse\ellipse_09.jpg,ellipse
shapes\ellipse\ellipse_10.jpg,ellipse
